                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0722,                 4.0491,                 1.9617,                0.00198,                0.30413,                0.10006,                  0.021,                 1.9694,                  4.216,                 2.1004,              0.0004065,              0.0004065,              0.0004065
                      2,                 1.9417,                 2.8525,                 1.7062,                  0.889,                0.15775,                0.33254,                0.14002,                  1.859,                 3.3586,                 1.8124,             0.00080687,             0.00080687,             0.00080687
                      3,                 1.8733,                 2.4403,                 1.6233,                0.15576,                0.38833,                0.25112,                0.08204,                 2.0098,                 8.0753,                  2.252,              0.0011907,              0.0011907,              0.0011907
                      4,                 1.8804,                 2.2555,                 1.6616,                  0.254,                0.44726,                0.27387,                0.10915,                  2.073,                 7.5504,                  2.096,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.8483,                 2.1237,                 1.6606,                0.61438,                0.47264,                0.47504,                0.23356,                 1.7986,                 4.2779,                 1.8073,               0.001151,               0.001151,               0.001151
                      6,                 1.7988,                 1.9547,                 1.6233,                0.47172,                0.49738,                0.50467,                0.21611,                 2.0038,                 2.5949,                 1.9055,              0.0011263,              0.0011263,              0.0011263
                      7,                  1.831,                 1.8439,                 1.6151,                0.53175,                0.53122,                0.51733,                0.21187,                 2.1351,                 2.1523,                 1.9544,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.7665,                 1.7929,                 1.5873,                0.52993,                0.59104,                0.52743,                0.22136,                 1.9346,                 2.6539,                 1.8302,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.7268,                 1.6987,                 1.5404,                0.57024,                0.46837,                0.46921,                0.19377,                 1.9489,                 2.5669,                 1.8867,               0.001052,               0.001052,               0.001052
                     10,                 1.7398,                 1.6233,                 1.5347,                0.55976,                0.61431,                0.59504,                0.28743,                 1.8307,                 1.6964,                 1.7189,              0.0010273,              0.0010273,              0.0010273
                     11,                  1.708,                 1.5322,                 1.5174,                0.60723,                0.57017,                0.61565,                0.27271,                 1.8473,                 1.8163,                 1.7309,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.7247,                 1.5038,                 1.5132,                0.58721,                0.65771,                0.63701,                0.30919,                 1.7989,                 1.5797,                 1.7082,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.6962,                 1.5002,                 1.5117,                0.78974,                0.52211,                0.64956,                0.32255,                 1.7527,                  1.868,                 1.6435,               0.000953,               0.000953,               0.000953
                     14,                 1.6957,                 1.4687,                 1.5097,                0.62786,                0.61895,                0.64716,                0.31604,                 1.7765,                 1.7839,                 1.6845,             0.00092825,             0.00092825,             0.00092825
                     15,                  1.648,                 1.4251,                 1.4802,                0.65466,                0.59495,                0.63226,                 0.2983,                 1.8347,                 1.6603,                 1.7773,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.6664,                 1.3512,                 1.4897,                0.70676,                0.67427,                0.71961,                 0.3416,                 1.7746,                 1.4646,                 1.6527,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.6257,                 1.3659,                 1.4537,                 0.6831,                0.69764,                0.69431,                0.33101,                 1.8263,                 1.5053,                 1.6649,               0.000854,               0.000854,               0.000854
                     18,                 1.6115,                 1.3442,                 1.4769,                0.69591,                0.66787,                0.69563,                0.33663,                 1.7896,                 1.4261,                 1.6762,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.5834,                 1.2619,                 1.4163,                0.75309,                0.66161,                0.73811,                0.35347,                 1.7972,                 1.3829,                 1.6886,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.5981,                 1.2712,                 1.4605,                0.72194,                0.67416,                0.73205,                0.35683,                 1.7816,                   1.33,                  1.656,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.6061,                 1.2582,                 1.4484,                0.69924,                0.69402,                0.71637,                0.33601,                 1.7893,                 1.3282,                 1.6431,               0.000755,               0.000755,               0.000755
                     22,                 1.5594,                 1.2238,                 1.4277,                0.66684,                0.71093,                0.71464,                0.34199,                 1.8078,                  1.399,                 1.6843,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.5198,                 1.1641,                 1.4031,                0.73833,                 0.6897,                0.73132,                0.36703,                 1.7646,                 1.3405,                 1.5933,              0.0007055,              0.0007055,              0.0007055
                     24,                 1.5512,                 1.1632,                 1.4114,                0.76809,                0.68401,                0.74867,                0.34801,                 1.8338,                 1.2598,                 1.6514,             0.00068075,             0.00068075,             0.00068075
                     25,                 1.5398,                 1.1244,                 1.4076,                0.63535,                0.64698,                0.69153,                0.33241,                 1.8278,                 1.5046,                    1.7,               0.000656,               0.000656,               0.000656
                     26,                 1.5202,                 1.1254,                 1.3821,                0.73143,                0.71501,                0.73231,                 0.3454,                  1.815,                 1.2986,                 1.6672,             0.00063125,             0.00063125,             0.00063125
                     27,                 1.5364,                 1.1678,                 1.3758,                0.72146,                0.72177,                0.74712,                0.35832,                 1.8183,                 1.2438,                 1.6558,              0.0006065,              0.0006065,              0.0006065
                     28,                 1.5283,                 1.1305,                 1.4018,                0.73637,                0.71029,                0.72501,                0.34582,                 1.8555,                 1.2865,                 1.6882,             0.00058175,             0.00058175,             0.00058175
                     29,                 1.5004,                 1.0733,                 1.3756,                 0.7452,                0.72835,                0.76445,                0.36472,                 1.8402,                 1.2673,                 1.6903,               0.000557,               0.000557,               0.000557
                     30,                 1.4633,                  1.065,                 1.3689,                0.78085,                0.71184,                0.77265,                0.37354,                 1.8354,                 1.2592,                 1.6571,             0.00053225,             0.00053225,             0.00053225
                     31,                 1.4225,                 1.0142,                 1.3277,                 0.7652,                 0.6689,                0.74559,                0.35935,                 1.8415,                 1.2639,                 1.6559,              0.0005075,              0.0005075,              0.0005075
                     32,                 1.4458,                 1.0439,                 1.3422,                0.66934,                0.63826,                0.68602,                0.33268,                 1.8329,                 1.3958,                 1.6653,             0.00048275,             0.00048275,             0.00048275
                     33,                 1.4253,                 1.0117,                 1.3427,                0.77182,                0.71606,                0.75947,                0.35887,                 1.8628,                 1.2422,                 1.6927,               0.000458,               0.000458,               0.000458
                     34,                 1.4375,                 1.0017,                  1.357,                0.69867,                0.77069,                 0.7709,                  0.366,                 1.8384,                 1.1844,                 1.6951,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.4188,                 1.0294,                 1.3447,                0.79423,                0.71835,                0.77196,                0.37941,                 1.8079,                 1.1779,                 1.6546,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.3603,                 0.9869,                 1.3185,                0.79241,                 0.6921,                0.75767,                0.37623,                 1.8508,                 1.2147,                 1.7132,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.3794,                0.97357,                 1.3144,                0.79853,                 0.6871,                 0.7578,                0.36949,                 1.8377,                 1.2504,                 1.7064,               0.000359,               0.000359,               0.000359
                     38,                 1.3625,                0.96288,                 1.3181,                0.79881,                0.72258,                0.78906,                0.37518,                  1.855,                 1.1899,                 1.7011,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.3664,                0.90732,                 1.3226,                0.79964,                 0.7335,                0.77912,                0.38493,                 1.8309,                 1.1903,                 1.6847,              0.0003095,              0.0003095,              0.0003095
