                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1913,                  3.931,                 2.2805,                0.25121,                0.00936,                0.00091,                0.00016,                    nan,                    nan,                    nan,              0.0004065,              0.0004065,              0.0004065
                      2,                   2.19,                 3.0709,                 2.2033,                0.75392,                0.06952,                0.00446,                0.00153,                    nan,                    nan,                    nan,             0.00080687,             0.00080687,             0.00080687
                      3,                 2.0676,                 2.6465,                 2.1181,                0.31607,                0.13332,                0.01215,                0.00384,                 3.1945,                 16.476,                 3.4167,              0.0011907,              0.0011907,              0.0011907
                      4,                  2.046,                 2.3383,                  2.101,                0.26236,                0.48453,                0.01267,                0.00442,                 2.5724,                    inf,                 4.8161,              0.0011757,              0.0011757,              0.0011757
                      5,                  1.953,                 2.2488,                 2.0343,                 0.3253,                0.26055,                0.05823,                0.02179,                 2.7167,                 11.879,                 2.9036,               0.001151,               0.001151,               0.001151
                      6,                 1.9464,                 2.1424,                 1.9996,                0.12064,                0.24728,                0.09657,                0.03446,                 2.3526,                 11.005,                  2.667,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.9323,                   1.98,                  1.988,                0.44516,                0.41791,                0.36327,                0.14474,                 1.9078,                 6.9916,                 2.2912,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.8428,                 1.9108,                 1.9087,                 0.3006,                0.56538,                0.51249,                 0.2296,                 1.8271,                 6.6128,                 2.2361,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.8356,                 1.8358,                 1.9072,                0.58108,                0.43371,                0.46338,                0.19536,                 1.9283,                 2.5289,                 2.2401,               0.001052,               0.001052,               0.001052
                     10,                 1.8235,                 1.7044,                 1.8888,                0.48544,                0.50612,                0.50682,                0.23862,                 1.8428,                 2.1156,                 2.1618,              0.0010273,              0.0010273,              0.0010273
                     11,                  1.792,                 1.6646,                 1.8705,                0.52074,                 0.5841,                0.56356,                0.24468,                 1.9063,                 2.1559,                 2.2725,              0.0010025,              0.0010025,              0.0010025
                     12,                  1.807,                 1.6924,                 1.9142,                0.64922,                0.48621,                0.55704,                0.25629,                 1.8721,                 1.8951,                 2.1849,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.7727,                 1.6723,                 1.8426,                0.47824,                0.56139,                0.53816,                 0.2571,                 1.8883,                 1.9616,                 2.1873,               0.000953,               0.000953,               0.000953
                     14,                  1.803,                 1.6414,                 1.8857,                0.61556,                0.49109,                0.53315,                0.23762,                 1.8923,                 2.0327,                 2.2165,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.7711,                 1.6248,                 1.8651,                0.49451,                0.55375,                0.52923,                0.26092,                 1.7649,                 1.9039,                 2.1081,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.7445,                 1.5468,                 1.8314,                0.56437,                0.57855,                0.61273,                0.29388,                 1.7923,                 1.7296,                 2.1074,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.7059,                 1.5584,                 1.8106,                0.56374,                0.60388,                0.58182,                0.27994,                 1.7983,                 1.7025,                 2.1021,               0.000854,               0.000854,               0.000854
                     18,                 1.7228,                 1.5325,                 1.8212,                0.51262,                0.61381,                0.62591,                0.27498,                 1.8969,                 1.7657,                 2.1827,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.6812,                 1.4272,                 1.7646,                0.67102,                0.58371,                0.64902,                0.30774,                 1.8014,                 1.6146,                  2.131,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.7362,                 1.4123,                 1.8331,                0.60729,                0.59752,                0.61712,                0.30883,                 1.7929,                  1.678,                 2.1267,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.7125,                 1.4785,                  1.809,                0.63767,                0.61052,                0.64705,                0.30192,                 1.7966,                 1.5436,                 2.1221,               0.000755,               0.000755,               0.000755
                     22,                 1.6758,                 1.4018,                 1.7816,                 0.6846,                0.58495,                0.62819,                0.30203,                 1.8207,                 1.6078,                 2.1264,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.6216,                 1.3461,                 1.7683,                0.58373,                0.60012,                0.63267,                0.30659,                 1.7962,                 1.6833,                 2.1124,              0.0007055,              0.0007055,              0.0007055
                     24,                 1.6277,                 1.3639,                 1.7684,                0.55878,                0.59766,                0.60233,                0.28345,                  1.943,                 1.6688,                 2.2192,             0.00068075,             0.00068075,             0.00068075
                     25,                 1.6197,                  1.309,                  1.758,                0.50627,                  0.568,                0.59233,                0.29231,                 1.8386,                 2.1444,                 2.1272,               0.000656,               0.000656,               0.000656
                     26,                 1.6246,                 1.3079,                 1.7365,                0.68412,                0.62211,                 0.6486,                0.30899,                 1.8339,                 1.5882,                 2.1543,             0.00063125,             0.00063125,             0.00063125
                     27,                 1.6314,                 1.3461,                 1.7396,                0.65764,                0.67595,                0.68301,                0.33188,                 1.8062,                  1.549,                 2.1052,              0.0006065,              0.0006065,              0.0006065
                     28,                  1.623,                 1.3561,                 1.7566,                0.69987,                0.64969,                0.68604,                0.31969,                  1.854,                  1.463,                 2.1564,             0.00058175,             0.00058175,             0.00058175
                     29,                 1.6299,                 1.2406,                 1.7353,                0.69596,                0.65626,                 0.6913,                0.33021,                 1.8303,                 1.5313,                 2.1268,               0.000557,               0.000557,               0.000557
                     30,                 1.5818,                 1.2528,                 1.7123,                0.71455,                 0.6494,                0.69255,                0.33482,                 1.7773,                  1.462,                 2.0899,             0.00053225,             0.00053225,             0.00053225
                     31,                 1.5235,                 1.1993,                 1.6788,                0.60628,                0.60056,                0.62653,                0.31079,                 1.8529,                 1.7633,                 2.1587,              0.0005075,              0.0005075,              0.0005075
                     32,                 1.5945,                 1.1932,                 1.7154,                0.74641,                0.66514,                0.72285,                0.34317,                 1.7879,                 1.3895,                 2.1155,             0.00048275,             0.00048275,             0.00048275
                     33,                 1.5696,                 1.1722,                  1.693,                0.64223,                0.68395,                0.66716,                0.32168,                 1.8238,                 1.4531,                 2.1367,               0.000458,               0.000458,               0.000458
                     34,                 1.5095,                 1.1472,                 1.6842,                0.71007,                 0.6574,                0.70305,                0.33748,                 1.8261,                 1.3629,                 2.1399,             0.00043325,             0.00043325,             0.00043325
